0.5530417561531067,0.34301286935806274,-0.034119442105293274;0.4131123423576355,0.3508877754211426,-0.08657371252775192;0.5572015643119812,0.5360686779022217,-0.08744722604751587;0.4178665280342102,0.5719147324562073,-0.14964096248149872;0.5160965323448181,0.6956072449684143,-0.26877155900001526;0.4744502604007721,0.6987024545669556,-0.27594244480133057;0.5253652930259705,0.6930238604545593,0.006660981569439173;0.4400706887245178,0.6997121572494507,-0.006817477755248547;0.6588506698608398,0.7889542579650879,-0.3068273365497589;0.30497902631759644,0.7700668573379517,-0.3126944303512573;0.4804688096046448,0.8170880079269409,-0.1383182257413864;0.48600679636001587,0.7996178269386292,-0.13164488971233368;0.462147057056427,0.771905779838562,-0.11162525415420532;0.4951792359352112,0.7580620050430298,-0.10150895267724991;
0.5509559512138367,0.34284916520118713,-0.03693979233503342;0.41170352697372437,0.35372433066368103,-0.08689862489700317;0.5541163086891174,0.5357876420021057,-0.08468310534954071;0.4186771512031555,0.5755116939544678,-0.15017063915729523;0.5150884389877319,0.7017508149147034,-0.2596539855003357;0.47684741020202637,0.7001276016235352,-0.27647051215171814;0.5246890783309937,0.6939172744750977,0.006375105585902929;0.4389360547065735,0.7001329064369202,-0.006515291519463062;0.6593124866485596,0.7868680953979492,-0.3037709891796112;0.3058962821960449,0.7688074111938477,-0.2933269739151001;0.4842894971370697,0.8068745732307434,-0.12983588874340057;0.48550158739089966,0.8043007850646973,-0.12665611505508423;0.46804872155189514,0.7751350402832031,-0.10289154201745987;0.49983349442481995,0.7592655420303345,-0.09860993176698685;
0.550073504447937,0.3427093029022217,-0.009744320064783096;0.4105474352836609,0.3570653796195984,-0.0555664487183094;0.5548809766769409,0.5427035689353943,-0.04603207856416702;0.41673654317855835,0.5747305750846863,-0.10897190868854523;0.5136479139328003,0.7013847827911377,-0.20492951571941376;0.47122660279273987,0.6996831297874451,-0.2325139045715332;0.5260891318321228,0.6919687986373901,0.005257926881313324;0.44028812646865845,0.6997835636138916,-0.005373914260417223;0.6593294143676758,0.7839120030403137,-0.3193461000919342;0.3064570128917694,0.7642533779144287,-0.32044634222984314;0.4765128493309021,0.8200238347053528,-0.15047726035118103;0.48462215065956116,0.8008517622947693,-0.15643858909606934;0.46309852600097656,0.7722195386886597,-0.12329864501953125;0.49943360686302185,0.7632266283035278,-0.12784098088741302;
0.5511053204536438,0.3416358530521393,-0.012309541925787926;0.4107353091239929,0.3543766736984253,-0.05775470286607742;0.553678572177887,0.546645998954773,-0.047371674329042435;0.4188730716705322,0.571959376335144,-0.1114582046866417;0.511113703250885,0.7038721442222595,-0.21040308475494385;0.47244399785995483,0.7025579810142517,-0.23625414073467255;0.5249340534210205,0.6930178999900818,0.005407033022493124;0.4399653971195221,0.6981318593025208,-0.0055076791904866695;0.6589363813400269,0.786838948726654,-0.3155216574668884;0.30765897035598755,0.7633267045021057,-0.3210477828979492;0.47616666555404663,0.8180166482925415,-0.1468093991279602;0.4901147484779358,0.7938792705535889,-0.1501750946044922;0.4628400206565857,0.765165388584137,-0.11941307783126831;0.497126042842865,0.753547728061676,-0.12071268260478973;
0.5507970452308655,0.3445669412612915,-0.026044661179184914;0.40997225046157837,0.357954204082489,-0.07095023989677429;0.5537924766540527,0.5439994931221008,-0.05813677981495857;0.41602906584739685,0.5760320425033569,-0.11957108974456787;0.5129156112670898,0.7057449817657471,-0.2171442210674286;0.4728183150291443,0.7039635181427002,-0.23589631915092468;0.5242003798484802,0.6919682025909424,0.0052552432753145695;0.4399077892303467,0.6995655298233032,-0.0053755538538098335;0.658372163772583,0.7868176102638245,-0.31455913186073303;0.30731040239334106,0.7603245377540588,-0.3139992654323578;0.4821149706840515,0.8155461549758911,-0.1412629932165146;0.4887007176876068,0.7988138198852539,-0.14795003831386566;0.46781301498413086,0.7727541327476501,-0.11383459717035294;0.49808597564697266,0.7585941553115845,-0.11951025575399399;
0.5509834289550781,0.3449639081954956,-0.025120962411165237;0.410069078207016,0.358472615480423,-0.0642099678516388;0.5545392036437988,0.5450925827026367,-0.05313611775636673;0.4157385230064392,0.5804405808448792,-0.11106350272893906;0.5125917196273804,0.7074547410011292,-0.20693978667259216;0.4743625521659851,0.7021093368530273,-0.2331591546535492;0.5248416066169739,0.6936639547348022,0.004390955902636051;0.43978577852249146,0.7020909786224365,-0.004505851771682501;0.6586270332336426,0.7869985699653625,-0.31468895077705383;0.30774033069610596,0.7588390111923218,-0.31444767117500305;0.4847288727760315,0.8177751898765564,-0.1473912000656128;0.4928719103336334,0.7997761964797974,-0.15666289627552032;0.4678990840911865,0.7755215764045715,-0.12033145129680634;0.5023171901702881,0.7599270343780518,-0.12841302156448364;
0.5507581233978271,0.3456788659095764,-0.02727278135716915;0.4097117483615875,0.3601090610027313,-0.07225022464990616;0.5527930855751038,0.5496676564216614,-0.0578230619430542;0.4173823893070221,0.5832796096801758,-0.11771540343761444;0.5132163763046265,0.7075366377830505,-0.19993242621421814;0.477959543466568,0.7037122249603271,-0.22639873623847961;0.5245324373245239,0.6942439079284668,0.0052061849273741245;0.43955737352371216,0.7018166184425354,-0.005332636646926403;0.6592106223106384,0.7879295945167542,-0.303029865026474;0.3089621961116791,0.757106363773346,-0.3133663535118103;0.4835938811302185,0.8036084771156311,-0.138911634683609;0.49419379234313965,0.7993806004524231,-0.15573933720588684;0.4674028754234314,0.7722316980361938,-0.11220209300518036;0.5040409564971924,0.7569080591201782,-0.12736612558364868;
0.5516200065612793,0.3450082838535309,-0.030288521200418472;0.41002601385116577,0.3600671887397766,-0.08398620784282684;0.5529632568359375,0.547910749912262,-0.060473330318927765;0.41700783371925354,0.5832834243774414,-0.12757419049739838;0.5143761038780212,0.707478940486908,-0.20969995856285095;0.4760604500770569,0.703019380569458,-0.2301255166530609;0.5261532664299011,0.6932840943336487,0.005571195390075445;0.44011038541793823,0.7028337121009827,-0.0056923688389360905;0.6609057784080505,0.7825764417648315,-0.30555012822151184;0.30823880434036255,0.7591264247894287,-0.310244083404541;0.480648934841156,0.8012086749076843,-0.14245916903018951;0.4906870722770691,0.7953523397445679,-0.15107356011867523;0.46458250284194946,0.7688297629356384,-0.11590602248907089;0.4983927309513092,0.7563289403915405,-0.12277106940746307;
0.5514369010925293,0.3470359742641449,-0.030157383531332016;0.4102197587490082,0.36111801862716675,-0.07765538990497589;0.552661657333374,0.5505701899528503,-0.05639384314417839;0.41588443517684937,0.5814992785453796,-0.1184232085943222;0.5126726627349854,0.7071274518966675,-0.19946573674678802;0.4743979573249817,0.7006012201309204,-0.2178775817155838;0.525399923324585,0.6928852796554565,0.004666834603995085;0.4400762617588043,0.7019980549812317,-0.004786237142980099;0.6583673357963562,0.7876085042953491,-0.30793941020965576;0.3090559244155884,0.762356162071228,-0.30496060848236084;0.48551955819129944,0.8030482530593872,-0.13873204588890076;0.4885101914405823,0.7967106103897095,-0.14402718842029572;0.46996766328811646,0.7712319493293762,-0.11186621338129044;0.4982083737850189,0.7578929662704468,-0.1157466396689415;
0.5526435971260071,0.35117146372795105,-0.03653690963983536;0.4098406732082367,0.3627639710903168,-0.07569505274295807;0.5526314377784729,0.5596885085105896,-0.06058242917060852;0.41480112075805664,0.584128737449646,-0.12149462848901749;0.5120612382888794,0.7080481648445129,-0.2067687064409256;0.47380995750427246,0.7024591565132141,-0.2370499074459076;0.5250371694564819,0.6937379837036133,0.004127729684114456;0.43881359696388245,0.7025412321090698,-0.00425937632098794;0.6601396799087524,0.7850335240364075,-0.29541122913360596;0.309677392244339,0.7685846090316772,-0.2931886911392212;0.496601402759552,0.8176151514053345,-0.13315314054489136;0.4903818964958191,0.8023490309715271,-0.13385465741157532;0.48097196221351624,0.7878634929656982,-0.1067935973405838;0.49951180815696716,0.759455680847168,-0.10511915385723114;
