0.5652576088905334,0.3959473967552185,-0.1843554675579071;0.4926449954509735,0.4643632769584656,-0.3924790620803833;0.5387410521507263,0.5233675837516785,-0.019581910222768784;0.4663521945476532,0.6932644248008728,-0.3935015797615051;0.5653184056282043,0.5945985317230225,0.05746220052242279;0.5025967359542847,0.9183053374290466,-0.41193071007728577;0.4956505000591278,0.597477912902832,0.05257776752114296;0.4500325918197632,0.6397886872291565,-0.05237260088324547;0.558114767074585,0.6813985109329224,0.22482499480247498;0.4976874887943268,0.7915483713150024,0.06305086612701416;0.5551550984382629,0.7861940264701843,0.3915606439113617;0.5403152704238892,0.7996392250061035,0.30190509557724;0.5426720380783081,0.8007641434669495,0.40878576040267944;0.5416406393051147,0.7998007535934448,0.3279752731323242;
0.5634565949440002,0.39162129163742065,-0.17190538346767426;0.49001920223236084,0.45256656408309937,-0.4056115448474884;0.5481798648834229,0.5040661692619324,0.01656455174088478;0.4540310502052307,0.6810030341148376,-0.4330920875072479;0.5699148178100586,0.5854053497314453,0.1064143106341362;0.48064860701560974,0.8769775629043579,-0.4521835148334503;0.5018589496612549,0.6068731546401978,0.05294312164187431;0.4539256691932678,0.6434338688850403,-0.05282788723707199;0.5517138838768005,0.7386537790298462,0.14273343980312347;0.4988711476325989,0.8507180213928223,0.018367517739534378;0.5502995848655701,0.8504620790481567,0.39607077836990356;0.5111669301986694,0.8747526407241821,0.3159772753715515;0.539499819278717,0.8615376949310303,0.4215356707572937;0.5093347430229187,0.8654999732971191,0.34928539395332336;
0.5609089136123657,0.3866746127605438,-0.16614848375320435;0.480623334646225,0.45398613810539246,-0.39878779649734497;0.5509989857673645,0.506524920463562,-0.011712554842233658;0.4448065161705017,0.6822870969772339,-0.44907280802726746;0.5711938142776489,0.5851633548736572,0.038144342601299286;0.4695264399051666,0.8963882923126221,-0.4812999367713928;0.5074415802955627,0.6215143203735352,0.05488407239317894;0.4522472620010376,0.6409268379211426,-0.05477697029709816;0.5514012575149536,0.7411820292472839,-0.0070723239332437515;0.495692640542984,0.8498727083206177,-0.10758618265390396;0.5533524751663208,0.8618170022964478,0.2356797605752945;0.5060603022575378,0.8928554654121399,0.18496669828891754;0.5445221066474915,0.8760297894477844,0.2601005733013153;0.5010451078414917,0.8822473287582397,0.21743366122245789;
0.5595519542694092,0.3829103112220764,-0.18014855682849884;0.477274626493454,0.41312289237976074,-0.4395657777786255;0.5542452931404114,0.5045114755630493,-0.009668279439210892;0.4359402060508728,0.6548812389373779,-0.49057653546333313;0.5732018947601318,0.5808064341545105,0.06244324892759323;0.4441256523132324,0.8642367124557495,-0.5156908631324768;0.5069704055786133,0.6312742233276367,0.0633331909775734;0.4545975923538208,0.6413582563400269,-0.06337190419435501;0.5510550737380981,0.7999061346054077,-0.006223300006240606;0.48671892285346985,0.8606685400009155,-0.1181989386677742;0.5458537340164185,0.877449631690979,0.32901424169540405;0.49877068400382996,0.9369111061096191,0.21477657556533813;0.5395194292068481,0.8803321719169617,0.36179807782173157;0.49449053406715393,0.9271628856658936,0.24873092770576477;
0.5621631741523743,0.35997477173805237,-0.1885865330696106;0.47370001673698425,0.40191850066185,-0.4577420949935913;0.5566785335540771,0.4888487160205841,-0.012480530887842178;0.43081605434417725,0.6268426179885864,-0.5145130753517151;0.5766366124153137,0.5804257988929749,0.052221640944480896;0.42742958664894104,0.8391364216804504,-0.5510149002075195;0.5185073614120483,0.6444994211196899,0.0643339678645134;0.463900625705719,0.6597850918769836,-0.06439194828271866;0.5693591833114624,0.7911049723625183,-0.05368109792470932;0.48431459069252014,0.9064925312995911,-0.06631367653608322;0.5264507532119751,0.878696858882904,0.29694655537605286;0.48302334547042847,1.0435736179351807,0.2306477278470993;0.5163255333900452,0.8787290453910828,0.3300378918647766;0.4759131968021393,1.0497832298278809,0.25698763132095337;
0.5628289580345154,0.3543395698070526,-0.20895737409591675;0.47009506821632385,0.39167049527168274,-0.4852209687232971;0.5582147240638733,0.4923180937767029,-0.050053536891937256;0.42299917340278625,0.6018803715705872,-0.5506362915039062;0.5798892974853516,0.5965948700904846,-0.019896171987056732;0.41840389370918274,0.8086222410202026,-0.5984170436859131;0.5125143527984619,0.634438693523407,0.07233919203281403;0.4581228196620941,0.6429678201675415,-0.0724068135023117;0.542704701423645,0.8219104409217834,0.009322788566350937;0.4904846251010895,0.8739086389541626,-0.0728665366768837;0.5145281553268433,0.9188650250434875,0.34654107689857483;0.5005269646644592,1.0205522775650024,0.20259881019592285;0.5061395168304443,0.9338065385818481,0.3770637512207031;0.4944290816783905,1.0320507287979126,0.2265617400407791;
0.5626389384269714,0.33236175775527954,-0.23726677894592285;0.46547767519950867,0.39740291237831116,-0.4996941387653351;0.5560477375984192,0.47720155119895935,-0.048579368740320206;0.418144166469574,0.5905055999755859,-0.5490389466285706;0.5824174880981445,0.5878565311431885,0.002876616083085537;0.4076699912548065,0.7914841175079346,-0.5955812931060791;0.512048602104187,0.6084875464439392,0.07777813822031021;0.45729556679725647,0.6237064599990845,-0.07800030708312988;0.565159022808075,0.8163780570030212,0.011746317148208618;0.4847606122493744,0.8623148798942566,-0.09085549414157867;0.526786208152771,0.9009876251220703,0.4109835922718048;0.4739770293235779,1.0025405883789062,0.2226068675518036;0.5146107077598572,0.8997476100921631,0.4479500949382782;0.4724063575267792,1.0286142826080322,0.25131741166114807;
0.5585125088691711,0.3276134729385376,-0.22633418440818787;0.4586224853992462,0.37968650460243225,-0.46972528100013733;0.5558542609214783,0.46802517771720886,-0.0483025424182415;0.4147956073284149,0.5729622840881348,-0.5132759809494019;0.5821669101715088,0.5796120762825012,-0.009050082415342331;0.39747828245162964,0.7565679550170898,-0.5655754804611206;0.5182003974914551,0.6116828322410583,0.06383230537176132;0.4590434730052948,0.6193724274635315,-0.06408065557479858;0.5463771820068359,0.836194634437561,-0.02813468500971794;0.4732527434825897,0.8743637204170227,-0.08452244102954865;0.5192649960517883,0.8919347524642944,0.40358075499534607;0.47014281153678894,1.026278018951416,0.2183847576379776;0.5116934180259705,0.8832441568374634,0.4441404938697815;0.46337375044822693,1.0316325426101685,0.24562205374240875;
0.5544108748435974,0.3184458017349243,-0.22318106889724731;0.4532596468925476,0.3644656836986542,-0.4703696668148041;0.5551887154579163,0.46593835949897766,-0.06747313588857651;0.41201457381248474,0.5505223870277405,-0.5131005644798279;0.586252748966217,0.5843801498413086,-0.05772579461336136;0.3876018822193146,0.7290712594985962,-0.5741135478019714;0.5203918814659119,0.6117199659347534,0.06646490842103958;0.46446365118026733,0.6224564909934998,-0.06664702296257019;0.5299949049949646,0.8326146602630615,0.09757334738969803;0.46954697370529175,0.8626104593276978,-0.02926289103925228;0.5030246376991272,0.9026191830635071,0.514188289642334;0.45953887701034546,1.0229742527008057,0.2466052621603012;0.4948626160621643,0.8995819091796875,0.5528208017349243;0.4517742693424225,1.0348269939422607,0.27002689242362976;
0.5530263781547546,0.31094446778297424,-0.18004365265369415;0.44944316148757935,0.353246808052063,-0.4244835674762726;0.5561741590499878,0.45681971311569214,-0.04281983897089958;0.4097326993942261,0.5329148769378662,-0.45922958850860596;0.5884650945663452,0.5775316953659058,-0.07177150994539261;0.3817884624004364,0.7057999968528748,-0.5293669700622559;0.5191807746887207,0.618660032749176,0.07050412148237228;0.46405619382858276,0.6291024684906006,-0.07062244415283203;0.5325503349304199,0.8337414264678955,0.1463695913553238;0.4664449393749237,0.8801645040512085,-0.05790378898382187;0.5082948803901672,0.8826759457588196,0.571872353553772;0.4551810324192047,1.0535917282104492,0.1399988830089569;0.5031201839447021,0.8828094005584717,0.6108738780021667;0.4493906795978546,1.0698249340057373,0.15439565479755402;
